_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5809878,PGE,3/28/2025 10:53:49 AM,3/29/2025 3:00:00 AM,DAMGE UG CABLE,11,16720.078125,551.800078264,KERN,Active,Not Planned,2746968,2025-03-29 16:35:30
2,5809879,PGE,3/28/2025 9:17:12 PM,3/29/2025 5:29:00 AM,REPAIR WIRE DWN,3,9227,499.628014976929,SONOMA,Active,Not Planned,2747524,2025-03-29 16:35:30
3,5809880,PGE,3/28/2025 10:46:33 PM,3/29/2025 2:45:00 AM,REPAIR WIRE DWN,3,15168.27734375,541.757650290278,SANTA CLARA,Active,Not Planned,2747575,2025-03-29 16:35:30
4,5809881,PGE,3/28/2025 10:52:05 PM,3/29/2025 1:45:00 AM,NG CONNECTION,1,7457.328125,420.72536136844,BUTTE,Active,Not Planned,2747590,2025-03-29 16:35:30
5,5809882,PGE,3/28/2025 11:55:17 PM,3/29/2025 8:30:00 AM,BRKN POLE,1,1672469.65625,5352.02501563855,HUMBOLDT,Active,Not Planned,2747623,2025-03-29 16:35:30
6,5809883,PGE,3/29/2025 12:27:03 AM,3/29/2025 3:45:00 AM,,1,8145.20703125,558.318816012276,SAN MATEO,Active,Not Planned,2747647,2025-03-29 16:35:30
7,5809884,PGE,3/29/2025 12:28:00 AM,3/29/2025 5:15:00 AM,,1,7341.83984375,519.924468030264,SANTA CLARA,Active,Not Planned,2747648,2025-03-29 16:35:30
8,5809885,PGE,3/29/2025 12:44:09 AM,3/29/2025 5:00:00 AM,,1,821885.22265625,6229.66610916143,PLUMAS,Active,Not Planned,2747655,2025-03-29 16:35:30
9,5809886,PGE,3/29/2025 1:20:11 AM,,,5,7457.328125,420.72536136844,BUTTE,Active,Not Planned,2747673,2025-03-29 16:35:30
10,5809887,PGE,3/28/2025 6:08:00 PM,3/29/2025 6:59:00 AM,PATROLLING,1,12437.12109375,480.377377991791,FRESNO,Active,Not Planned,2747374,2025-03-29 16:35:30
11,5809888,PGE,3/28/2025 7:02:09 PM,3/29/2025 4:00:00 AM,REPLCE TXFMR,1,973095.09765625,3945.68158609454,KERN,Active,Not Planned,2747421,2025-03-29 16:35:30
12,5809889,PGE,3/28/2025 9:59:31 PM,3/29/2025 3:15:00 AM,EMERG REPAIRS,1,7264.71484375,405.15603965044,MARIN,Active,Not Planned,2747548,2025-03-29 16:35:30
13,5809890,PGE,3/29/2025 12:12:40 AM,3/29/2025 6:00:00 AM,,1,40955.17578125,858.073670590953,ALAMEDA,Active,Not Planned,2747635,2025-03-29 16:35:30
14,5809891,PGE,3/29/2025 12:14:23 AM,3/29/2025 3:30:00 AM,PATROLLING,1,10427.92578125,487.732809371766,SAN FRANCISCO,Active,Not Planned,2747637,2025-03-29 16:35:30
15,5809892,PGE,3/29/2025 12:26:56 AM,3/29/2025 3:45:00 AM,PATROLLING,1,15179.12890625,532.145200867417,MONTEREY,Active,Not Planned,2747646,2025-03-29 16:35:30
16,5809893,PGE,3/28/2025 4:08:08 PM,3/29/2025 3:00:00 AM,PLNND SHUTDOWN,1,88504.10546875,1404.34401411541,SAN BENITO,Active,Planned,2747226,2025-03-29 16:35:30
17,5809894,PGE,3/28/2025 6:31:00 PM,3/29/2025 4:45:00 AM,REPLCE SRVC,1,15787.01171875,652.201035818462,ALAMEDA,Active,Not Planned,2747400,2025-03-29 16:35:30
18,5809895,PGE,3/28/2025 9:33:03 PM,3/29/2025 2:30:00 AM,PATROLLING,1,8288.734375,399.772975664144,ALAMEDA,Active,Not Planned,2747533,2025-03-29 16:35:30
