_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5738773,PGE,3/19/2025 3:34:47 PM,3/19/2025 11:00:00 PM,PLNND SHUTDOWN,2,38104.30859375,942.473812868203,YOLO,Active,Planned,2739094,2025-03-21 04:13:25
2,5738774,PGE,3/19/2025 4:14:00 PM,3/19/2025 9:00:00 PM,PLNND SHUTDOWN,3,389241.5625,3022.80962765931,PLACER,Active,Planned,2739194,2025-03-21 04:13:25
3,5738775,PGE,3/19/2025 7:36:32 PM,3/20/2025 8:00:00 PM,DAMGE UG CABLE,1,82107.51171875,1252.38806177711,SOLANO,Active,Not Planned,2739422,2025-03-21 04:13:25
4,5738776,PGE,3/20/2025 1:30:00 AM,3/20/2025 11:30:00 AM,PATROLLING,14,8077253.6171875,24707.7285075279,HUMBOLDT,Active,Not Planned,2739838,2025-03-21 04:13:25
5,5738777,PGE,3/20/2025 3:51:46 AM,3/20/2025 11:45:00 AM,BRKN POLE,3,9057.0859375,486.740720447613,SANTA CLARA,Active,Not Planned,2739902,2025-03-21 04:13:25
6,5738778,PGE,3/20/2025 6:34:04 AM,3/20/2025 7:00:00 PM,REPLCE TXFMR,1,1343.2109375,167.259011145067,ALAMEDA,Active,Not Planned,2739935,2025-03-21 04:13:25
7,5738779,PGE,3/20/2025 6:35:09 AM,3/20/2025 9:30:00 PM,CAR POLE,25,165440.109375,3416.77479641426,SOLANO,Active,Not Planned,2739938,2025-03-21 04:13:25
8,5738780,PGE,3/20/2025 8:27:00 AM,3/20/2025 4:15:00 PM,,5,9710419.67578125,17013.8731367704,KINGS,Active,Not Planned,2739946,2025-03-21 04:13:25
9,5738781,PGE,3/20/2025 9:00:00 AM,3/20/2025 7:00:00 PM,PATROLLING,240,20696671.8945313,40222.8875956311,PLACER,Active,Not Planned,2739974,2025-03-21 04:13:25
10,5738782,PGE,3/20/2025 2:57:21 AM,3/20/2025 12:00:00 PM,EMERG REPAIRS,32,46435.00390625,1273.84925280737,SANTA BARBARA,Active,Not Planned,2739879,2025-03-21 04:13:25
11,5738783,PGE,3/20/2025 3:09:00 AM,3/20/2025 1:00:00 PM,PLNND SHUTDOWN,14,17640.390625,644.722291196118,PLACER,Active,Planned,2739889,2025-03-21 04:13:25
12,5738784,PGE,3/20/2025 6:07:31 AM,3/20/2025 1:00:00 PM,CAR POLE,52,2161620.42578125,13945.7663077217,TEHAMA,Active,Not Planned,2739933,2025-03-21 04:13:25
13,5738785,PGE,3/20/2025 3:29:37 AM,3/20/2025 1:00:00 PM,REPLCE TXFMR,7,17809.28125,644.908305205241,SAN FRANCISCO,Active,Not Planned,2739890,2025-03-21 04:13:25
14,5738786,PGE,3/20/2025 6:23:37 AM,3/20/2025 11:15:00 AM,REPLCE TXFMR,6,6287.0234375,317.448720237763,SAN JOAQUIN,Active,Not Planned,2739934,2025-03-21 04:13:25
15,5738787,PGE,3/19/2025 4:11:10 PM,3/20/2025 1:00:00 AM,PLNND SHUTDOWN,13,87977.19140625,1397.20288915065,ALAMEDA,Active,Planned,2739210,2025-03-21 04:13:25
16,5738788,PGE,3/20/2025 8:47:15 AM,3/20/2025 7:00:00 PM,,1,7142.4765625,483.918545799121,MENDOCINO,Active,Not Planned,2739951,2025-03-21 04:13:25
17,5738789,PGE,3/20/2025 5:20:00 AM,3/20/2025 12:00:00 PM,REPLCE TXFMR,1,19709.5546875,704.686369247522,SAN FRANCISCO,Active,Not Planned,2739932,2025-03-21 04:13:25
18,5738790,PGE,3/19/2025 5:24:24 PM,3/20/2025 3:00:00 AM,PLNND SHUTDOWN,4,15275.5390625,555.255757738795,SANTA CLARA,Active,Planned,2739304,2025-03-21 04:13:25
19,5738791,PGE,3/20/2025 3:17:16 AM,3/20/2025 11:30:00 AM,BRKN POLE EQUIPMNT,16,58131.9609375,1264.46601021856,SAN MATEO,Active,Not Planned,2739888,2025-03-21 04:13:25
20,5738792,PGE,3/20/2025 7:10:00 AM,3/20/2025 12:30:00 PM,,92,111754.48046875,2471.75076621923,SOLANO,Active,Not Planned,2739941,2025-03-21 04:13:25
21,5738793,PGE,3/20/2025 2:14:50 AM,3/20/2025 11:00:00 AM,DAMGE UG CABLE,1,8146.62109375,366.509030002513,MONTEREY,Active,Not Planned,2739858,2025-03-21 04:13:25
22,5738794,PGE,3/20/2025 4:02:00 AM,3/20/2025 1:00:00 PM,PLNND SHUTDOWN,116,24212.91015625,835.777041722822,SAN FRANCISCO,Active,Planned,2739910,2025-03-21 04:13:25
23,5738795,PGE,3/20/2025 7:55:00 AM,3/20/2025 12:15:00 PM,,13,11708.9609375,448.558412552958,SOLANO,Active,Not Planned,2739944,2025-03-21 04:13:25
24,5738796,PGE,3/19/2025 11:04:00 PM,3/20/2025 7:00:00 PM,BRKN POLE,11,18538.01171875,754.799443834919,SAN JOAQUIN,Active,Not Planned,2739723,2025-03-21 04:13:25
25,5738797,PGE,3/20/2025 8:44:32 AM,3/20/2025 12:30:00 PM,,1,12232.59375,482.656574504552,SAN FRANCISCO,Active,Not Planned,2739949,2025-03-21 04:13:25
26,5738798,PGE,3/20/2025 8:19:00 AM,3/20/2025 3:00:00 PM,EMERG REPAIRS,604,1127110.43359375,5568.53494850945,CONTRA COSTA,Active,Not Planned,2739953,2025-03-21 04:13:25
27,5738799,PGE,3/20/2025 9:31:41 AM,3/20/2025 2:00:00 PM,,1,17511.5,578.459508659996,SAN FRANCISCO,Active,Not Planned,2739990,2025-03-21 04:13:25
1,5745478,PGE,3/21/2025 4:12:00 AM,3/21/2025 1:00:00 PM,PLNND SHUTDOWN,1,6612.14453125,466.311816458891,ALAMEDA,Active,Planned,2740666,2025-03-21 11:03:57
2,5745479,PGE,3/21/2025 3:29:49 AM,3/21/2025 12:30:00 PM,EMERG REPAIRS,94,89723.765625,1808.37167440058,SANTA CLARA,Active,Not Planned,2740644,2025-03-21 11:03:57
3,5745480,PGE,3/21/2025 10:35:27 AM,,,311,360294.7109375,3041.35709441147,SANTA CLARA,Active,Not Planned,2740725,2025-03-21 11:03:57
4,5745481,PGE,3/21/2025 4:26:00 AM,3/21/2025 1:00:00 PM,PLNND SHUTDOWN,122,56363.58203125,1175.40761151246,SAN MATEO,Active,Planned,2740679,2025-03-21 11:03:57
5,5745482,PGE,3/21/2025 4:18:00 AM,3/21/2025 1:00:00 PM,PLNND SHUTDOWN,78,55624.09765625,1060.1840949411,SAN MATEO,Active,Planned,2740686,2025-03-21 11:03:57
6,5745483,PGE,3/21/2025 4:26:00 AM,3/21/2025 1:00:00 PM,PLNND SHUTDOWN,95,9739.125,395.261459030108,SAN MATEO,Active,Planned,2740691,2025-03-21 11:03:57
7,5745484,PGE,3/21/2025 5:13:40 AM,3/21/2025 10:45:00 AM,,4,6142.10546875,351.026512122305,CONTRA COSTA,Active,Not Planned,2740693,2025-03-21 11:03:57
8,5745485,PGE,3/21/2025 8:05:06 AM,3/21/2025 12:15:00 PM,EMERG REPAIRS,1,13722.56640625,493.284711944916,MONTEREY,Active,Not Planned,2740716,2025-03-21 11:03:57
9,5745486,PGE,3/21/2025 10:05:14 AM,3/21/2025 12:30:00 PM,,53,1555458.359375,9340.26643384482,STANISLAUS,Active,Not Planned,2740724,2025-03-21 11:03:57
10,5745487,PGE,3/21/2025 10:38:07 AM,,,1,10131.5703125,653.315468311804,GLENN,Active,Not Planned,2740726,2025-03-21 11:03:57
11,5745488,PGE,3/20/2025 11:50:02 PM,3/21/2025 1:00:00 PM,REPLCE TXFMR,1,6596.80859375,460.418147803965,SAN FRANCISCO,Active,Not Planned,2740544,2025-03-21 11:03:57
12,5745489,PGE,3/21/2025 6:54:43 AM,3/21/2025 2:02:00 PM,EMERG REPAIRS,1,7503.15234375,579.068815793337,CONTRA COSTA,Active,Not Planned,2740710,2025-03-21 11:03:57
13,5745490,PGE,3/21/2025 12:37:24 AM,3/21/2025 5:00:00 PM,,1,2920883.765625,7859.41330986162,KERN,Active,Not Planned,2740571,2025-03-21 11:03:57
14,5745491,PGE,3/21/2025 4:01:00 AM,3/21/2025 1:00:00 PM,PLNND SHUTDOWN,237,12342.875,650.241039009598,ALAMEDA,Active,Planned,2740663,2025-03-21 11:03:57
15,5745492,PGE,3/21/2025 4:46:41 AM,3/21/2025 12:15:00 PM,REPLCE TXFMR,8,10894.65625,515.231213782303,SAN MATEO,Active,Not Planned,2740675,2025-03-21 11:03:57
16,5745493,PGE,3/21/2025 5:00:00 AM,3/21/2025 1:00:00 PM,PLNND SHUTDOWN,86,53343.421875,2144.62811806227,SAN MATEO,Active,Planned,2740683,2025-03-21 11:03:57
17,5745494,PGE,3/21/2025 9:10:00 AM,3/21/2025 11:30:00 AM,PLNND SHUTDOWN,1,10695.9609375,412.402897234993,KERN,Active,Planned,2740722,2025-03-21 11:03:57
18,5745495,PGE,3/20/2025 2:34:48 PM,3/21/2025 11:45:00 AM,REPLCE SRVC,1,8030.140625,473.006582195215,SANTA CLARA,Active,Not Planned,2740043,2025-03-21 11:03:57
19,5745496,PGE,3/21/2025 4:02:56 AM,3/21/2025 12:00:00 PM,PLNND SHUTDOWN,22,17552.3203125,620.104609561883,SAN MATEO,Active,Planned,2740653,2025-03-21 11:03:57
20,5745497,PGE,3/21/2025 4:00:00 AM,3/21/2025 1:00:00 PM,PLNND SHUTDOWN,7,20292.234375,692.930901781898,SAN MATEO,Active,Planned,2740656,2025-03-21 11:03:57
21,5745498,PGE,3/21/2025 12:03:00 AM,3/21/2025 5:45:00 AM,,1,231992.41015625,2085.18330906802,EL DORADO,Active,Not Planned,2740636,2025-03-21 11:03:57
22,5745499,PGE,3/20/2025 8:39:24 PM,3/21/2025 5:00:00 PM,REPLCE TXFMR,1,1340125.8359375,6163.80949428659,KERN,Active,Not Planned,2740334,2025-03-21 11:03:57
23,5745500,PGE,3/20/2025 11:09:00 PM,3/21/2025 5:00:00 PM,NG CONNECTION,1,976802.3671875,3952.23862659429,KERN,Active,Not Planned,2740514,2025-03-21 11:03:57
24,5745501,PGE,3/21/2025 4:04:05 AM,3/21/2025 12:00:00 PM,REPLCE TXFMR,5,6336.01953125,351.599703570961,SAN MATEO,Active,Not Planned,2740652,2025-03-21 11:03:57
25,5745502,PGE,3/21/2025 7:42:33 AM,3/21/2025 5:45:00 PM,PATROLLING,1,27761.30078125,839.328753297042,ALAMEDA,Active,Not Planned,2740711,2025-03-21 11:03:57
26,5745503,PGE,3/21/2025 9:09:49 AM,3/21/2025 1:30:00 PM,PATROLLING,3,149339.109375,1764.1818036597,CALAVERAS,Active,Not Planned,2740721,2025-03-21 11:03:57
1,5753398,PGE,3/21/2025 9:25:09 PM,3/22/2025 3:00:00 PM,PATROLLING,1,31590.6953125,918.881061354276,MONTEREY,Active,Not Planned,2741289,2025-03-22 10:03:55
2,5753399,PGE,3/22/2025 2:57:23 AM,3/22/2025 2:00:00 PM,REPAIR WIRE DWN,12,1076899.84765625,5992.51509989212,SAN JOAQUIN,Active,Not Planned,2741528,2025-03-22 10:03:55
